Date,UK EQUITY,EUR EQUITY,NA EQUITY,ASIA EQUITY,JPN EQUITY,EM EQUITY,WORLD EQUITY EX UK,ABSOLUTE RETURN,PROPERTY,GILTS,GBP CREDIT,LIBOR,LIBOR PLUS 3,GLOBAL AGG,GLOBAL IG,EM DEBT,GLOBAL HY,GBP NON-GILTS BBB 1-5YRS
30/06/2012,0.047066336,0.064923968,0.017970745,0.017693718,0.033143498,0.016578739,0.029237698,-0.001294871,0.000691903,-0.010566778,0.004945065,0.000745833,0.003245833,-0.013659164,-0.006711193,0.017946436,0.024473512,0.009213936
31/07/2012,0.01321786,0.010550678,0.01377461,0.0356831,-0.022991975,0.016852199,0.01289814,0.022773543,0.001715444,0.01985289,0.035829605,0.000619792,0.003119792,0.011510178,0.020753062,0.04006186,0.01618767,0.024396858
31/08/2012,0.021877159,0.035025914,0.007537076,-0.020408371,-0.021031898,-0.017800227,0.009929269,0.003371737,0.002245458,0.000342632,0.01135671,0.000567708,0.003067708,-0.00435615,-5.77954E-05,-0.000816397,0.019499631,0.01605233
30/09/2012,0.010801272,0.014006387,0.007786925,0.036286282,-0.005063233,0.038710789,0.007249351,0.002101577,0.001938599,-0.003043378,0.017200455,0.0004974,0.0029974,-0.007136191,-0.003656879,-0.003446099,0.020511025,0.019035559
31/10/2012,0.010291766,0.018096019,-0.015686798,0.005558985,-0.016654789,-0.006160415,-0.007744151,0.00209717,0.002506514,-0.009728913,0.009437464,0.000439583,0.002939583,-2.9729E-06,0.01254675,0.009319179,0.012978153,0.014636333
30/11/2012,0.017389279,0.035929366,0.007745572,0.026859628,0.024820903,0.018018539,0.01712612,0.003067915,0.000129495,0.00598667,0.014348276,0.000435417,0.002935417,0.006486612,0.008503703,0.021733902,0.011084562,0.012003599
31/12/2012,0.009832752,0.020674153,-0.006398701,0.016627301,0.045347586,0.033721034,0.004075483,0.006937727,0.002592229,-0.00289757,0.007260825,0.000429167,0.002929167,-0.015943413,-0.007783547,-0.003762849,0.020637325,0.011983229
31/01/2013,0.061770868,0.085932277,0.072764804,0.048594347,0.04810017,0.035920637,0.07298353,0.012367892,0.003849568,-0.016827584,-0.003211923,0.000426042,0.002926042,0.01446252,0.018084314,0.008614313,0.015955044,0.006099883
28/02/2013,0.022527495,0.012526528,0.052142513,0.051070933,0.070085996,0.030887826,0.04727748,0.011811963,0.003183217,0.009917662,0.011513567,0.000423442,0.002923442,0.036625174,0.039317461,0.043002757,-0.001930996,0.007431576
31/03/2013,0.013951305,-0.012628058,0.032808983,-0.01874418,0.038207844,-0.019599863,0.021348492,0.013140441,0.003654136,0.017303384,0.016354856,0.0004224,0.0029224,-0.003476535,-0.002142009,-0.007880044,0.005170505,0.008295939
